1774264461.0331342; Key.enter; keyup
1774264462.76681; Key.shift; keydown
1774264463.2895212; B; keydown
1774264463.355488; B; keyup
1774264463.3931139; Key.shift; keyup
1774264463.7333665; i; keydown
1774264463.784599; i; keyup
1774264463.8876703; o; keydown
1774264463.9369404; o; keyup
1774264464.0495245; m; keydown
1774264464.1052608; e; keydown
1774264464.1122386; m; keyup
1774264464.1645198; e; keyup
1774264464.203298; t; keydown
1774264464.2604527; t; keyup
1774264464.3474648; r; keydown
1774264464.4265454; r; keyup
1774264464.4407597; i; keydown
1774264464.5045207; i; keyup
1774264464.5135655; a; keydown
1774264464.5867236; a; keyup
1774264464.7013822; Key.space; keydown
1774264464.7891681; Key.space; keyup
1774264465.0676107; b; keydown
1774264465.1192439; e; keydown
1774264465.136877; b; keyup
1774264465.188971; e; keyup
1774264465.3253787; a; keydown
1774264465.3850534; a; keyup
1774264465.6097925; Key.backspace; keydown
1774264465.6629014; Key.backspace; keyup
1774264466.0649526; h; keydown
1774264466.1228101; h; keyup
1774264466.1247287; a; keydown
1774264466.2035875; w; keydown
1774264466.208663; a; keyup
1774264466.2811751; w; keyup
1774264466.337416; i; keydown
1774264466.3930387; i; keyup
1774264466.499492; o; keydown
1774264466.5570958; o; keyup
1774264466.5585217; r; keydown
1774264466.6177325; a; keydown
1774264466.6469712; r; keyup
1774264466.703148; a; keyup
1774264466.7215736; l; keydown
1774264466.7891617; l; keyup
1774264466.9134912; n; keydown
1774264466.9711142; n; keyup
1774264466.977607; a; keydown
1774264467.0406742; a; keyup
1774264467.1095657; Key.space; keydown
1774264467.1614656; Key.space; keyup
1774264467.5255086; e; keydown
1774264467.5865557; e; keyup
1774264467.789592; Key.backspace; keydown
1774264467.8428261; Key.backspace; keyup
1774264467.9475002; j; keydown
1774264468.009134; j; keyup
1774264468.010623; e; keydown
1774264468.0690534; s; keydown
1774264468.0805748; e; keyup
1774264468.1324923; s; keyup
1774264468.2310147; t; keydown
1774264468.2792609; t; keyup
1774264468.7068634; Key.space; keydown
1774264468.7966695; Key.space; keyup
1774264473.8976338; b; keydown
1774264473.940995; b; keyup
1774264473.9556022; a; keydown
1774264474.0053387; r; keydown
1774264474.0290425; a; keyup
1774264474.0772157; r; keyup
1774264474.2010303; d; keydown
1774264474.2391148; z; keydown
1774264474.3230145; d; keyup
1774264474.337258; z; keyup
1774264474.361741; o; keydown
1774264474.4109602; o; keyup
1774264474.5512326; Key.space; keydown
1774264474.61332; Key.space; keyup
1774264474.6295402; c; keydown
1774264474.7367291; c; keyup
1774264474.7756312; e; keydown
1774264474.8793; e; keyup
1774264474.9116151; i; keydown
1774264474.9793317; i; keyup
1774264475.2097547; Key.backspace; keydown
1774264475.2449994; Key.backspace; keyup
1774264475.327209; Key.backspace; keydown
1774264475.4108064; Key.backspace; keyup
1774264475.485311; i; keydown
1774264475.5514205; i; keyup
1774264475.6291077; e; keydown
1774264475.7052681; e; keyup
1774264476.097682; k; keydown
1774264476.1612267; k; keyup
1774264476.177865; a; keydown
1774264476.2793975; a; keyup
1774264476.280941; w; keydown
1774264476.3632617; w; keyup
1774264476.591742; a; keydown
1774264476.6328285; a; keyup
1774264476.7416284; .; keydown
1774264476.8032815; .; keyup
1774264477.0331373; Key.enter; keydown
1774264477.1132293; Key.enter; keyup
1774264477.8116043; Key.shift; keydown
1774264478.0954626; P; keydown
1774264478.1391592; Key.shift; keyup
1774264478.1472185; p; keyup
1774264478.7212858; Key.alt_r; keydown
1774264478.7930303; o; keydown
1774264478.8612392; o; keyup
1774264478.879268; Key.alt_r; keyup
1774264479.271603; Key.alt_r; keydown
1774264479.3391178; x; keydown
1774264479.3868036; Key.alt_r; keyup
1774264479.4168139; x; keyup
1774264479.5417523; n; keydown
