1774263189.8030264; Key.shift_r; keydown
1774263189.9437814; W; keydown
1774263190.0399415; W; keyup
1774263190.0494237; Key.shift_r; keyup
1774263190.3560407; Key.space; keydown
1774263190.437719; Key.space; keyup
1774263190.5717967; s; keydown
1774263190.6456664; s; keyup
1774263190.7117229; z; keydown
1774263190.7915437; z; keyup
1774263190.9057636; c; keydown
1774263190.9675076; c; keyup
1774263191.0575786; z; keydown
1774263191.1452715; z; keyup
1774263191.2577655; e; keydown
1774263191.3174896; e; keyup
1774263192.029863; ]; keydown
1774263192.1138952; ]; keyup
1774263192.6163712; Key.backspace; keydown
1774263192.6735508; Key.backspace; keyup
1774263192.755826; Key.backspace; keydown
1774263192.8158123; Key.backspace; keyup
1774263192.8777554; Key.backspace; keydown
1774263192.9475033; Key.backspace; keyup
1774263193.006042; Key.backspace; keydown
1774263193.0455952; Key.backspace; keyup
1774263193.1121545; Key.backspace; keydown
1774263193.1615293; Key.backspace; keyup
1774263193.4198868; Key.backspace; keydown
1774263193.5016217; Key.backspace; keyup
1774263193.8644338; Key.shift_r; keydown
1774263193.9716926; S; keydown
1774263194.0336387; Key.shift_r; keyup
1774263194.0396705; s; keyup
1774263194.151828; z; keydown
1774263194.2315843; z; keyup
1774263194.4465635; c; keydown
1774263194.4618895; c; keyup
1774263194.5577838; z; keydown
1774263194.6476178; z; keyup
1774263194.8137224; e; keydown
1774263194.8595686; e; keyup
1774263195.7978873; b; keydown
1774263195.8554568; b; keyup
1774263195.9163918; r; keydown
1774263195.9855533; r; keyup
1774263196.1237743; z; keydown
1774263196.1915314; z; keyup
1774263196.3086588; e; keydown
1774263196.3655057; e; keyup
1774263196.7381191; s; keydown
1774263196.8078375; s; keyup
1774263196.8904014; z; keydown
1774263196.9636989; z; keyup
1774263197.0025702; y; keydown
1774263197.0795224; y; keyup
1774263197.3717248; n; keydown
1774263197.4643; i; keydown
1774263197.5217183; n; keyup
1774263197.5657797; e; keydown
1774263197.5737813; i; keyup
1774263197.6195467; e; keyup
1774263197.9698167; Key.space; keydown
1774263198.033541; Key.space; keyup
1774263198.497808; c; keydown
1774263198.5916114; c; keyup
1774263199.1640735; h; keydown
1774263199.2315657; h; keyup
1774263199.4200053; r; keydown
1774263199.4875774; r; keyup
1774263199.637999; z; keydown
1774263199.7276855; z; keyup
1774263199.8359847; Key.alt_r; keydown
1774263199.9358642; a; keydown
1774263200.0015547; a; keyup
1774263200.0301094; Key.alt_r; keyup
1774263200.7718697; s; keydown
1774263200.8476565; s; keyup
1774263200.926568; z; keydown
1774263201.005754; z; keyup
1774263201.119858; c; keydown
1774263201.1856456; c; keyup
1774263201.2757518; z; keydown
1774263201.3556776; z; keyup
1774263201.430544; Key.space; keydown
1774263201.4881222; Key.space; keyup
1774263202.0258532; b; keydown
1774263202.0856862; b; keyup
1774263202.1761298; r; keydown
1774263202.239626; r; keyup
1774263202.429999; z; keydown
1774263202.4661715; m; keydown
1774263202.4756658; z; keyup
1774263202.5917885; m; keyup
1774263202.627922; i; keydown
1774263202.7114773; i; keyup
1774263203.094068; Key.space; keydown
1774263203.1637533; Key.space; keyup
1774263203.2539418; w; keydown
1774263203.3318627; w; keyup
1774263203.3500664; Key.space; keydown
1774263203.417843; Key.space; keyup
1774263203.8340974; t; keydown
1774263203.903852; t; keyup
1774263204.0040507; r; keydown
1774263204.0718758; r; keyup
1774263204.2758954; z; keydown
1774263204.3457046; z; keyup
1774263205.4260125; c; keydown
1774263205.5023234; c; keyup
1774263205.6521506; i; keydown
1774263205.7438793; i; keyup
1774263205.842166; n; keydown
1774263205.9180794; i; keydown
1774263205.9737885; n; keyup
1774263205.9822245; e; keydown
1774263206.0307727; i; keyup
1774263206.0598185; e; keyup
1774263206.7801383; .; keydown
1774263206.8596327; .; keyup
1774263207.2040255; Key.enter; keydown
1774263207.2697244; Key.enter; keyup
1774263209.4099886; Key.shift_r; keydown
1774263209.5000668; B; keydown
1774263209.5617995; B; keyup
1774263209.5898678; Key.shift_r; keyup
1774263209.738147; i; keydown
1774263209.802214; i; keyup
1774263209.9002762; o; keydown
1774263209.967756; o; keyup
1774263210.0520709; m; keydown
1774263210.1259532; e; keydown
1774263210.1296604; m; keyup
1774263210.2099586; e; keyup
1774263210.7839234; t; keydown
1774263210.8537002; t; keyup
1774263210.962135; r; keydown
1774263211.035865; r; keyup
1774263211.0601223; i; keydown
1774263211.1438298; i; keyup
1774263211.211897; a; keydown
1774263211.2999368; a; keyup
1774263211.3620615; Key.space; keydown
1774263211.4258707; Key.space; keyup
1774263211.9626021; b; keydown
1774263212.0377665; b; keyup
1774263212.0700831; e; keydown
1774263212.1442647; e; keyup
1774263212.2340767; h; keydown
1774263212.2998402; h; keyup
1774263212.3378916; a; keydown
1774263212.4138634; a; keyup
1774263213.8581543; w; keydown
1774263213.957806; w; keyup
1774263214.044231; i; keydown
1774263214.1139517; i; keyup
1774263214.2000964; o; keydown
1774263214.2877398; o; keyup
1774263214.3583438; r; keydown
1774263214.426162; r; keyup
1774263214.5503788; a; keydown
1774263214.6285238; l; keydown
1774263214.6336942; a; keyup
1774263214.689776; l; keyup
1774263215.4782045; n; keydown
1774263215.5539613; n; keyup
1774263215.7861922; a; keydown
1774263215.8625424; a; keyup
1774263215.9000955; Key.space; keydown
1774263215.9666245; Key.space; keyup
1774263216.4141448; j; keydown
1774263216.4863122; e; keydown
1774263216.4917028; j; keyup
1774263216.5483165; e; keyup
1774263216.6200988; s; keydown
1774263216.7138414; s; keyup
1774263216.8861392; t; keydown
1774263216.9438531; t; keyup
1774263216.9862056; Key.space; keydown
1774263217.0459223; Key.space; keyup
1774263217.814174; b; keydown
1774263217.8919332; b; keyup
1774263217.8940709; a; keydown
1774263217.9701939; a; keyup
1774263218.146247; r; keydown
1774263218.2223752; r; keyup
1774263218.33001; d; keydown
1774263218.4078462; d; keyup
1774263218.5162334; z; keydown
1774263218.5999806; z; keyup
1774263218.6241875; o; keydown
1774263218.6959317; o; keyup
1774263218.9619553; Key.space; keydown
1774263219.0238957; Key.space; keyup
1774263219.3984802; c; keydown
1774263219.4720662; c; keyup
1774263219.518167; i; keydown
1774263219.5823843; i; keyup
1774263219.6301455; e; keydown
1774263219.6838892; e; keyup
1774263219.7119486; k; keydown
1774263219.769807; k; keyup
1774263220.1761577; a; keydown
1774263220.2659845; a; keyup
1774263220.3662226; w; keydown
1774263220.4279788; w; keyup
1774263220.4879239; a; keydown
1774263220.6158857; a; keyup
1774263221.0822167; .; keydown
1774263221.1440315; .; keyup
1774263221.4927187; Key.enter; keydown
1774263221.5702822; Key.enter; keyup
1774263223.390489; Key.shift_r; keydown
1774263223.7784185; P; keydown
1774263223.8440635; Key.shift_r; keyup
1774263223.870072; p; keyup
1774263223.9881475; o; keydown
1774263224.0940447; o; keyup
1774263224.9103558; Key.backspace; keydown
1774263225.0060387; Key.backspace; keyup
1774263225.1752007; Key.alt_r; keydown
1774263225.5845764; o; keydown
1774263225.702153; o; keyup
1774263225.762024; Key.alt_r; keyup
1774263226.1621737; Key.alt_r; keydown
1774263226.3501563; x; keydown
1774263226.393988; x; keyup
1774263226.65433; Key.alt_r; keyup
1774263227.2322206; n; keydown
1774263227.3065927; i; keydown
1774263227.3663368; n; keyup
1774263227.3921154; i; keyup
1774263227.4960995; j; keydown
1774263227.5581596; j; keyup
1774263227.8823478; Key.backspace; keydown
1774263228.010146; Key.backspace; keyup
1774263228.0182116; e; keydown
1774263228.090253; e; keyup
1774263228.3502629; j; keydown
1774263228.4841661; j; keyup
1774263228.4983578; Key.space; keydown
1774263228.5723312; Key.space; keyup
1774263228.9323614; w; keydown
1774263229.0261161; w; keyup
