1774266556.4026804; G; keydown
1774266556.49765; Key.shift; keyup
1774266556.505363; g; keyup
1774266556.5898676; o; keydown
1774266556.6475224; o; keyup
1774266556.795827; t; keydown
1774266556.8699732; t; keyup
1774266556.8716185; o; keydown
1774266556.9396286; o; keyup
1774266557.3663895; w; keydown
1774266557.4177592; w; keyup
1774266557.4359212; y; keydown
1774266557.531568; y; keyup
1774266557.5403073; Key.space; keydown
1774266557.619761; Key.space; keyup
1774266558.916394; Key.backspace; keydown
1774266558.9702432; Key.backspace; keyup
1774266559.0518801; Key.backspace; keydown
1774266559.1078267; Key.backspace; keyup
1774266559.1818502; Key.backspace; keydown
1774266559.2354777; Key.backspace; keyup
1774266559.3117373; Key.backspace; keydown
1774266559.367767; Key.backspace; keyup
1774266559.445839; Key.backspace; keydown
1774266559.491507; Key.backspace; keyup
1774266559.575764; Key.backspace; keydown
1774266559.6300054; Key.backspace; keyup
1774266559.6966252; Key.backspace; keydown
1774266559.7659478; Key.backspace; keyup
1774266559.8397493; Key.backspace; keydown
1774266559.8719478; Key.backspace; keyup
1774266560.0525327; Key.shift; keydown
1774266560.283826; W; keydown
1774266560.3519883; W; keyup
1774266560.3954675; Key.shift; keyup
1774266560.4157336; Key.space; keydown
1774266560.471446; Key.space; keyup
1774266560.572033; s; keydown
1774266560.6399357; s; keyup
1774266560.766259; z; keydown
1774266560.797422; z; keyup
1774266560.8702931; c; keydown
1774266560.911744; c; keyup
1774266560.938233; z; keydown
1774266561.0114572; z; keyup
1774266561.137871; e; keydown
1774266561.1958947; e; keyup
1774266561.3219936; b; keydown
1774266561.357741; b; keyup
1774266561.4599833; r; keydown
1774266561.5255597; r; keyup
1774266561.6798096; z; keydown
1774266561.7557082; z; keyup
1774266561.8762515; e; keydown
1774266561.9379685; e; keyup
1774266562.0702832; s; keydown
1774266562.1455576; s; keyup
1774266562.2602859; z; keydown
1774266562.3279388; z; keyup
1774266562.3294244; y; keydown
1774266562.3738797; y; keyup
1774266562.5082095; n; keydown
1774266562.532031; i; keydown
1774266562.5778003; n; keyup
1774266562.6338923; i; keyup
1774266562.665885; e; keydown
1774266562.7136886; e; keyup
1774266562.7602677; Key.space; keydown
1774266562.8219802; Key.space; keyup
1774266563.9578106; c; keydown
1774266564.0117722; c; keyup
1774266564.0742404; h; keydown
1774266564.1174512; h; keyup
1774266564.7722707; r; keydown
1774266564.8596396; r; keyup
1774266565.1116827; z; keydown
1774266565.193191; z; keyup
1774266565.3134482; Key.alt_r; keydown
1774266565.5903823; a; keydown
1774266565.6778526; a; keyup
1774266565.7015018; Key.alt_r; keyup
1774266565.9881635; s; keydown
1774266566.0833097; s; keyup
1774266566.2041147; c; keydown
1774266566.2612753; c; keyup
1774266566.6601264; Key.backspace; keydown
1774266566.731128; Key.backspace; keyup
1774266566.7914634; z; keydown
1774266566.863106; z; keyup
1774266566.969395; c; keydown
1774266567.0310872; c; keyup
1774266567.1153128; z; keydown
1774266567.1872413; z; keyup
1774266567.2013314; Key.space; keydown
1774266567.251132; Key.space; keyup
1774266567.3839755; b; keydown
1774266567.4315624; b; keyup
1774266567.538183; r; keydown
1774266567.621804; r; keyup
1774266567.7757149; z; keydown
1774266567.819887; m; keydown
1774266567.867678; z; keyup
1774266567.873437; m; keyup
1774266567.9301574; i; keydown
1774266568.0321732; Key.space; keydown
1774266568.055636; i; keyup
1774266568.1157472; Key.space; keyup
1774266568.1777344; w; keydown
1774266568.2738042; w; keyup
1774266568.2801871; Key.space; keydown
1774266568.3336005; Key.space; keyup
1774266568.4900355; t; keydown
1774266568.533465; t; keyup
1774266568.637937; r; keydown
1774266568.687257; r; keyup
1774266568.6937182; z; keydown
1774266568.757279; z; keyup
1774266569.0237448; c; keydown
1774266569.0715337; c; keyup
1774266569.1276677; i; keydown
1774266569.183741; i; keyup
1774266569.5381007; n; keydown
1774266569.576165; i; keydown
1774266569.6195166; n; keyup
1774266569.637699; e; keydown
1774266569.6713324; i; keyup
1774266569.7113645; e; keyup
1774266569.7941675; Key.enter; keydown
1774266569.8474813; Key.enter; keyup
1774266570.981749; Key.shift; keydown
1774266571.2659967; B; keydown
1774266571.3033335; B; keyup
1774266571.309391; Key.shift; keyup
1774266571.465618; i; keydown
1774266571.5675533; o; keydown
1774266571.5951188; i; keyup
1774266571.697733; o; keyup
1774266571.8240244; m; keydown
1774266571.8733044; m; keyup
1774266571.949679; e; keydown
1774266572.017717; e; keyup
1774266572.1915994; t; keydown
1774266572.2894726; r; keydown
1774266572.3113165; t; keyup
1774266572.395707; r; keyup
1774266572.397282; i; keydown
1774266572.463945; i; keyup
1774266572.604103; a; keydown
1774266572.6936767; a; keyup
1774266572.7177227; Key.space; keydown
1774266572.7633214; Key.space; keyup
1774266572.8719664; b; keydown
1774266572.913126; b; keyup
1774266572.9874818; e; keydown
1774266573.0516264; e; keyup
1774266573.2519474; h; keydown
1774266573.2994323; h; keyup
1774266573.3539972; a; keydown
1774266573.435164; a; keyup
1774266573.6180084; w; keydown
1774266573.6734154; w; keyup
1774266573.7457318; i; keydown
1774266573.7932477; i; keyup
1774266573.8998873; o; keydown
1774266573.9556744; o; keyup
1774266574.1358232; r; keydown
1774266574.2077053; r; keyup
1774266574.32547; a; keydown
1774266574.3941696; l; keydown
1774266574.4474707; a; keyup
1774266574.4754002; l; keyup
1774266574.5718029; n; keydown
1774266574.6210587; n; keyup
1774266574.6680105; a; keydown
1774266574.7519643; Key.space; keydown
1774266574.7575085; a; keyup
1774266574.7971551; Key.space; keyup
1774266575.3116179; j; keydown
1774266575.3474302; j; keyup
1774266575.383943; e; keydown
1774266575.4412484; e; keyup
1774266575.559704; s; keydown
1774266575.6134536; s; keyup
1774266575.6797242; t; keydown
1774266575.7334983; Key.space; keydown
1774266575.7573876; t; keyup
1774266575.8350976; Key.space; keyup
1774266575.9338582; b; keydown
1774266576.0031583; b; keyup
1774266576.0253918; a; keydown
1774266576.0891767; a; keyup
1774266576.245862; r; keydown
1774266576.3431525; r; keyup
1774266576.5015962; d; keydown
1774266576.567594; d; keyup
1774266576.6795263; z; keydown
1774266576.739192; z; keyup
1774266576.745615; o; keydown
1774266576.8014; o; keyup
1774266576.921944; Key.space; keydown
1774266576.9673884; Key.space; keyup
1774266577.1855214; c; keydown
1774266577.2434957; c; keyup
1774266577.3519435; i; keydown
1774266577.3970966; i; keyup
1774266577.4994252; e; keydown
1774266577.5451837; e; keyup
1774266577.595849; k; keydown
1774266577.6655037; k; keyup
1774266577.733333; a; keydown
1774266577.7932496; a; keyup
1774266577.8854146; w; keydown
1774266577.9596245; w; keyup
1774266578.0579913; a; keydown
1774266578.1395476; a; keyup
1774266578.7816014; .; keydown
1774266578.8518586; Key.enter; keydown
1774266578.8709514; .; keyup
1774266578.9449844; Key.enter; keyup
1774266579.791838; Key.shift; keydown
1774266579.863563; Key.shift; keyup
1774266580.2554123; p; keydown
1774266580.3253024; p; keyup
1774266580.5033782; Key.alt_r; keydown
1774266580.5637736; o; keydown
1774266580.6211245; Key.alt_r; keyup
1774266580.6815226; o; keyup
1774266580.7674198; Key.alt_r; keydown
1774266580.9015021; Key.alt_r; keyup
1774266581.6032658; Key.alt_r; keydown
1774266582.0052795; z; keydown
1774266582.0728402; z; keyup
1774266582.096689; Key.alt_r; keyup
1774266582.227233; n; keydown
1774266582.2691247; i; keydown
1774266582.2968361; n; keyup
1774266582.343004; i; keyup
1774266582.3812468; e; keydown
1774266582.4448764; e; keyup
1774266582.4591913; j; keydown
1774266582.543211; Key.space; keydown
1774266582.5588324; j; keyup
1774266582.6188877; Key.space; keyup
1774266583.1312473; w; keydown
1774266583.2027116; w; keyup
1774266583.2227268; Key.alt_r; keydown
1774266583.2735584; l; keydown
1774266583.3308122; Key.alt_r; keyup
1774266583.3911202; l; keyup
1774266583.4441974; Key.alt_r; keydown
1774266583.519847; a; keydown
1774266583.6052206; a; keyup
1774266583.615468; Key.alt_r; keyup
1774266583.761658; c; keydown
1774266583.8167427; c; keyup
1774266583.9169383; z; keydown
1774266583.9777312; Key.space; keydown
1774266584.0208583; z; keyup
1774266584.0448067; Key.space; keyup
1774266584.671138; t; keydown
1774266584.7327313; t; keyup
1774266584.795011; Key.alt_r; keydown
1774266584.87115; e; keydown
1774266584.9527004; e; keyup
1774266584.9545205; Key.alt_r; keyup
1774266585.0251365; Key.space; keydown
1774266585.0747087; Key.space; keyup
1774266585.168968; s; keydown
1774266585.2294576; s; keyup
1774266585.2669506; i; keydown
1774266585.314833; i; keyup
1774266585.3815513; e; keydown
1774266585.4288888; e; keyup
1774266585.480886; Key.alt_r; keydown
1774266585.5933812; c; keydown
1774266585.6471083; Key.alt_r; keyup
1774266585.6592243; c; keyup
1774266585.69349; Key.space; keydown
1774266585.749322; Key.space; keyup
1774266586.503114; Key.backspace; keydown
1774266586.5773532; Key.backspace; keyup
1774266586.879124; ,; keydown
1774266586.9226942; ,; keyup
1774266587.0311806; Key.space; keydown
1774266587.072944; Key.space; keyup
1774266587.1231933; p; keydown
1774266587.2312982; r; keydown
1774266587.2467084; p; keyup
1774266587.2973802; r; keyup
1774266587.4556453; z; keydown
1774266587.5328467; z; keyup
1774266587.6773922; e; keydown
1774266587.7107944; e; keyup
1774266587.7355587; m; keydown
1774266587.786755; m; keyup
1774266587.9596622; y; keydown
1774266588.0108187; y; keyup
1774266588.1235085; Key.alt_r; keydown
1774266588.2752347; s; keydown
1774266588.3548005; s; keyup
1774266588.6212738; Key.alt_r; keyup
1774266588.7936049; l; keydown
1774266588.8507874; l; keyup
1774266588.945507; Key.space; keydown
1774266588.9928448; Key.space; keyup
1774266589.4437392; n; keydown
1774266589.4808881; n; keyup
1774266589.7693622; Key.backspace; keydown
1774266589.813053; Key.backspace; keyup
1774266589.9036434; b; keydown
1774266589.9666622; b; keyup
1774266590.0152204; Key.alt_r; keydown
1774266590.0417287; l; keydown
1774266590.098817; Key.alt_r; keyup
1774266590.1672218; l; keyup
1774266590.2556233; Key.alt_r; keydown
1774266590.3515675; a; keydown
1774266590.4008183; Key.alt_r; keyup
1774266590.4373357; a; keyup
1774266590.6272457; d; keydown
1774266590.672978; d; keyup
1774266590.7555876; m; keydown
1774266590.813381; m; keyup
1774266590.893551; Key.space; keydown
1774266590.9490304; Key.space; keyup
1774266591.6935112; Key.backspace; keydown
1774266591.7572372; Key.backspace; keyup
1774266591.8296702; Key.backspace; keydown
1774266591.8848665; Key.backspace; keyup
1774266592.3735564; ,; keydown
1774266592.41511; ,; keyup
1774266592.505679; Key.space; keydown
1774266592.5550144; Key.space; keyup
1774266592.7370584; c; keydown
1774266592.8033774; c; keyup
1774266592.8516228; h; keydown
1774266592.8930364; h; keyup
1774266593.1035948; Key.alt_r; keydown
1774266593.167079; l; keydown
1774266593.196656; Key.alt_r; keyup
1774266593.26949; l; keyup
1774266593.3691738; o; keydown
1774266593.4149706; o; keyup
1774266593.5356565; Key.alt_r; keydown
1774266594.2930415; n; keydown
1774266594.3369977; Key.alt_r; keyup
1774266594.3627744; n; keyup
1774266594.5594778; d; keydown
1774266594.6371486; d; keyup
1774266594.8270624; Key.backspace; keydown
1774266594.9006357; Key.backspace; keyup
1774266595.0515091; Key.space; keydown
1774266595.103449; Key.space; keyup
1774266595.1830351; d; keydown
1774266595.253221; d; keyup
1774266595.5875316; Key.alt_r; keydown
1774266595.7475286; x; keydown
1774266595.812667; x; keyup
1774266595.8291037; Key.alt_r; keyup
1774266595.975543; w; keydown
1774266596.0189679; w; keyup
1774266596.0709515; i; keydown
1774266596.169468; Key.alt_r; keydown
1774266596.1831784; i; keyup
1774266596.2574794; e; keydown
1774266596.3226964; e; keyup
1774266596.3263366; Key.alt_r; keyup
1774266596.405571; k; keydown
1774266596.5072079; k; keyup
1774266596.5664127; Key.space; keydown
1774266596.628608; Key.space; keyup
1774266596.711581; i; keydown
1774266596.7907364; i; keyup
1774266596.840783; Key.space; keydown
1774266596.9168866; Key.space; keyup
1774266597.424853; g; keydown
1774266597.4933217; g; keyup
1774266597.5794482; r; keydown
1774266597.667053; r; keyup
1774266597.841141; a; keydown
1774266597.9207625; a; keyup
1774266598.053503; f; keydown
1774266598.1171527; f; keyup
1774266598.1295576; i; keydown
1774266598.174701; i; keyup
1774266598.4876144; c; keydown
1774266598.5486393; c; keyup
1774266598.6495645; z; keydown
1774266598.6910646; n; keydown
1774266598.7209468; z; keyup
1774266598.739734; i; keydown
1774266598.7828355; n; keyup
1774266598.8265684; i; keyup
1774266598.8657894; e; keydown
1774266598.9285095; e; keyup
1774266598.9415019; Key.space; keydown
1774266598.9849932; Key.space; keyup
1774266599.7490857; z; keydown
1774266599.8285043; z; keyup
1774266599.9287593; a; keydown
1774266600.0024183; a; keyup
1774266600.6594863; Key.alt_r; keydown
1774266600.8689497; z; keydown
1774266600.9545858; Key.alt_r; keyup
1774266600.9683454; z; keyup
1774266601.094695; Key.alt_r; keydown
1774266601.1845946; o; keydown
1774266601.2505236; Key.alt_r; keyup
1774266601.3224876; o; keyup
1774266601.4587822; Key.alt_r; keydown
1774266601.5393078; l; keydown
1774266601.595052; Key.alt_r; keyup
1774266601.7030628; l; keyup
1774266601.7569373; Key.alt_r; keydown
1774266601.8573637; c; keydown
1774266601.8948274; Key.alt_r; keyup
1774266601.9150784; c; keyup
1774266601.943228; Key.space; keydown
1774266602.004508; Key.space; keyup
1774266603.0128443; f; keydown
1774266603.0484445; f; keyup
1774266603.1126573; u; keydown
1774266603.1583452; u; keyup
1774266603.2793415; z; keydown
1774266603.3410463; z; keyup
