1774266608.6000078; Key.shift; keydown
1774266608.9792025; W; keydown
1774266609.0985274; W; keyup
1774266609.1103625; Key.shift; keyup
1774266609.3011894; Key.space; keydown
1774266609.361267; Key.space; keyup
1774266609.4087987; s; keydown
1774266609.470353; s; keyup
1774266609.5932; z; keydown
1774266609.6446834; z; keyup
1774266609.7348235; c; keydown
1774266609.808848; c; keyup
1774266609.8732398; z; keydown
1774266609.9502597; z; keyup
1774266610.0871043; e; keydown
1774266610.1428277; e; keyup
1774266610.4872742; b; keydown
1774266610.5286868; b; keyup
1774266610.563141; r; keydown
1774266610.6389616; r; keyup
1774266611.0806773; e; keydown
1774266611.1568837; e; keyup
1774266611.2951596; s; keydown
1774266611.3723748; s; keyup
1774266611.4847467; z; keydown
1774266611.5364368; z; keyup
1774266611.5627341; y; keydown
1774266611.616499; y; keyup
1774266611.7493215; n; keydown
1774266611.7893665; i; keydown
1774266611.818307; n; keyup
1774266611.8590174; e; keydown
1774266611.8825157; i; keyup
1774266611.9182658; e; keyup
1774266611.9545712; Key.space; keydown
1774266612.0082061; Key.space; keyup
1774266612.4612718; c; keydown
1774266612.5044684; c; keyup
1774266612.5911086; h; keydown
1774266612.6385918; h; keyup
1774266612.683156; c; keydown
1774266612.744236; c; keyup
1774266613.234557; Key.backspace; keydown
1774266613.3023157; Key.backspace; keyup
1774266613.326841; r; keydown
1774266613.394701; r; keyup
1774266613.5446792; z; keydown
1774266613.6162188; z; keyup
1774266613.762927; Key.alt_r; keydown
1774266613.9127703; e; keydown
1774266613.9904335; e; keyup
1774266614.0789828; Key.alt_r; keyup
1774266614.1970425; Key.backspace; keydown
1774266614.3566349; Key.alt_r; keydown
1774266614.3983426; Key.backspace; keyup
1774266614.489083; a; keydown
1774266614.5783186; a; keyup
1774266614.6321964; Key.alt_r; keyup
1774266615.710467; s; keydown
1774266615.7761364; s; keyup
1774266615.9144487; z; keydown
1774266615.9601219; z; keyup
1774266616.0625274; c; keydown
1774266616.1284814; c; keyup
1774266616.2071083; z; keydown
1774266616.2707436; z; keyup
1774266616.308653; Key.space; keydown
1774266616.3523276; Key.space; keyup
1774266616.4992087; b; keydown
1774266616.506025; b; keyup
1774266616.617244; r; keydown
1774266616.7143776; r; keyup
1774266616.9032676; z; keydown
1774266616.9527698; m; keydown
1774266617.002555; m; keyup
1774266617.0222542; z; keyup
1774266617.0631013; i; keydown
1774266617.1526678; i; keyup
1774266617.268491; Key.space; keydown
1774266617.3466597; Key.space; keyup
1774266617.3726168; w; keydown
1774266617.4162662; w; keyup
1774266617.4425297; Key.space; keydown
1774266617.5026622; Key.space; keyup
1774266617.6690195; t; keydown
1774266617.7142518; t; keyup
1774266617.9269774; z; keydown
1774266617.9280033; r; keydown
1774266617.9985294; z; keyup
1774266618.0145218; r; keyup
1774266618.8845987; Key.backspace; keydown
1774266618.955967; Key.backspace; keyup
1774266619.0222075; Key.backspace; keydown
1774266619.0900402; Key.backspace; keyup
1774266619.166541; r; keydown
1774266619.2606316; r; keyup
1774266619.5371408; z; keydown
1774266619.6024919; z; keyup
1774266620.0684183; c; keydown
1774266620.1244087; c; keyup
1774266620.1750102; i; keydown
1774266620.240168; i; keyup
1774266620.3005924; n; keydown
1774266620.374638; i; keydown
1774266620.414239; n; keyup
1774266620.4465168; e; keydown
1774266620.4598668; i; keyup
1774266620.505811; e; keyup
1774266620.612022; Key.enter; keydown
1774266620.6859329; Key.enter; keyup
