1774275873.99193; Key.enter; keydown
1774275874.0371766; Key.enter; keyup
1774275880.6811233; Key.shift; keydown
1774275881.3809528; B; keydown
1774275881.4403234; B; keyup
1774275881.480369; Key.shift; keyup
1774275881.8071475; i; keydown
1774275881.8600674; i; keyup
1774275881.9751847; o; keydown
1774275882.0443115; o; keyup
1774275882.2209344; m; keydown
1774275882.2925456; m; keyup
1774275882.3685203; e; keydown
1774275882.4465158; e; keyup
1774275882.6391447; t; keydown
1774275882.746614; r; keydown
1774275882.7619333; t; keyup
1774275882.821935; r; keyup
1774275882.997114; i; keydown
1774275883.049991; i; keyup
1774275883.0625207; a; keydown
1774275883.1361103; a; keyup
1774275884.8089104; Key.space; keydown
1774275884.918048; Key.space; keyup
1774275885.4868453; b; keydown
1774275885.554321; b; keyup
1774275885.608296; e; keydown
1774275885.6803844; e; keyup
1774275886.164753; h; keydown
1774275886.2120733; h; keyup
1774275886.2628543; a; keydown
1774275886.3538697; a; keyup
1774275886.6603913; w; keydown
1774275886.7342072; w; keyup
1774275886.788199; i; keydown
1774275886.8597684; i; keyup
1774275886.9741304; o; keydown
1774275887.0557623; o; keyup
1774275887.4145935; r; keydown
1774275887.4696436; r; keyup
1774275887.5167336; a; keydown
1774275887.621931; a; keyup
1774275888.0326252; l; keydown
1774275888.081741; l; keyup
1774275888.2629325; n; keydown
1774275888.3101556; n; keyup
1774275888.3505723; a; keydown
1774275888.431714; a; keyup
1774275890.522324; Key.space; keydown
1774275890.610068; Key.space; keyup
1774275890.8945107; j; keydown
1774275890.958088; j; keyup
1774275890.9880078; e; keydown
1774275891.0923376; s; keydown
1774275891.1118028; e; keyup
1774275891.174097; s; keyup
1774275891.3945673; t; keydown
1774275891.455971; t; keyup
1774275892.0408177; Key.space; keydown
1774275892.0908961; Key.space; keyup
1774275892.3476844; b; keydown
1774275892.3917608; b; keyup
1774275892.427155; a; keydown
1774275892.5121913; a; keyup
1774275892.6503906; r; keydown
1774275892.7213867; r; keyup
1774275892.95122; d; keydown
1774275893.040617; z; keydown
1774275893.0749686; d; keyup
1774275893.14737; z; keyup
1774275893.3541849; o; keydown
1774275893.4219398; o; keyup
1774275893.950229; Key.space; keydown
1774275894.051353; Key.space; keyup
1774275894.3697522; c; keydown
1774275894.4462953; c; keyup
1774275894.5052023; i; keydown
1774275894.5594373; i; keyup
1774275894.620487; e; keydown
1774275894.6899123; e; keyup
1774275894.7686074; k; keydown
1774275894.8443346; k; keyup
1774275894.8627872; a; keydown
1774275894.9598293; a; keyup
1774275895.1250718; w; keydown
1774275895.2291315; a; keydown
1774275895.2576258; w; keyup
1774275895.3206282; a; keyup
1774275895.9621944; .; keydown
1774275896.024154; .; keyup
1774275896.7609742; Key.enter; keydown
1774275896.8261168; Key.enter; keyup
1774275899.3707902; Key.shift; keydown
1774275899.7325528; P; keydown
1774275899.7677176; Key.shift; keyup
1774275899.7777967; p; keyup
1774275900.1483426; Key.alt_r; keydown
1774275900.2708683; o; keydown
1774275900.3236475; Key.alt_r; keyup
1774275900.373294; o; keyup
1774275900.5955448; Key.alt_r; keydown
1774275900.7912662; x; keydown
1774275900.8522642; x; keyup
1774275900.8622143; Key.alt_r; keyup
1774275901.4193666; n; keydown
1774275901.490093; n; keyup
1774275901.5538924; i; keydown
1774275901.6087606; i; keyup
1774275901.6907196; e; keydown
1774275901.7477393; e; keyup
1774275901.891038; j; keydown
1774275901.9434462; j; keyup
1774275902.3013983; Key.space; keydown
1774275902.3699858; Key.space; keyup
1774275902.812538; w; keydown
1774275902.8801713; w; keyup
1774275903.0733302; Key.alt_r; keydown
1774275903.178153; l; keydown
1774275903.2213087; Key.alt_r; keyup
1774275903.267107; l; keyup
1774275903.3803825; Key.alt_r; keydown
1774275903.4438195; a; keydown
1774275903.5392044; a; keyup
1774275903.5829644; Key.alt_r; keyup
1774275904.213058; c; keydown
1774275904.3163831; z; keydown
1774275904.3373919; c; keyup
1774275904.4330394; z; keyup
1774275904.82037; Key.space; keydown
1774275904.887926; Key.space; keyup
1774275905.3677475; t; keydown
1774275905.4329548; t; keyup
1774275905.5722284; e; keydown
1774275905.6197667; e; keyup
1774275906.045898; Key.backspace; keydown
1774275906.1471627; Key.backspace; keyup
1774275906.3897142; Key.alt_r; keydown
1774275906.4972038; e; keydown
1774275906.580812; e; keyup
1774275906.5820832; Key.alt_r; keyup
1774275906.8895307; Key.space; keydown
1774275906.970302; Key.space; keyup
1774275907.285867; s; keydown
1774275907.361255; s; keyup
1774275907.414756; i; keydown
1774275907.482782; i; keyup
1774275907.5146875; e; keydown
1774275907.5820994; e; keyup
1774275907.7796662; Key.alt_r; keydown
1774275907.9145658; c; keydown
1774275907.9923239; c; keyup
1774275908.0363348; Key.alt_r; keyup
1774275908.9483912; ,; keydown
1774275909.0038505; ,; keyup
1774275909.1442883; Key.space; keydown
1774275909.229736; Key.space; keyup
1774275910.1648371; p; keydown
1774275910.2360687; p; keyup
1774275910.2943244; r; keydown
1774275910.4099023; a; keydown
1774275910.4492397; r; keyup
1774275910.5092745; a; keyup
1774275910.8305252; Key.backspace; keydown
1774275910.9258742; Key.backspace; keyup
1774275910.9597237; z; keydown
1774275911.057082; z; keyup
1774275911.1616704; e; keydown
1774275911.2587066; e; keyup
1774275911.730064; m; keydown
1774275911.781268; m; keyup
1774275911.961451; y; keydown
1774275912.0026982; y; keyup
1774275912.7312217; Key.alt_r; keydown
1774275912.8626046; s; keydown
1774275912.9225576; s; keyup
1774275912.9664116; Key.alt_r; keyup
1774275913.9086595; l; keydown
1774275913.9780853; l; keyup
1774275914.4734485; Key.space; keydown
1774275914.5205727; Key.space; keyup
1774275914.952623; b; keydown
1774275914.995702; b; keyup
1774275915.701643; Key.alt_r; keydown
1774275915.798454; l; keydown
