1774266288.5238814; Key.caps_lock; keydown
1774266288.598436; Key.caps_lock; keyup
1774266289.036727; w; keydown
1774266289.1444595; w; keyup
1774266289.2468395; Key.caps_lock; keydown
1774266289.3606381; Key.caps_lock; keyup
1774266289.4491858; Key.space; keydown
1774266289.510841; Key.space; keyup
1774266289.5615335; Key.caps_lock; keydown
1774266289.6728716; Key.caps_lock; keyup
1774266289.7771518; s; keydown
1774266289.8892488; Key.caps_lock; keydown
1774266289.9008665; s; keyup
1774266290.0043774; Key.caps_lock; keyup
1774266290.2046013; z; keydown
1774266290.3042862; z; keyup
1774266290.350536; c; keydown
1774266290.4324186; c; keyup
1774266290.4767523; z; keydown
1774266290.544355; z; keyup
1774266290.6511555; e; keydown
1774266290.7183344; e; keyup
1774266290.9970567; b; keydown
1774266291.0564094; b; keyup
1774266291.4332466; r; keydown
1774266291.540549; r; keyup
1774266291.6266813; z; keydown
1774266291.7327724; z; keyup
1774266291.767114; e; keydown
1774266291.8427172; e; keyup
1774266291.9491; s; keydown
1774266292.0347652; s; keyup
1774266292.0971143; z; keydown
1774266292.1927533; z; keyup
1774266292.2312365; y; keydown
1774266292.3063993; y; keyup
1774266292.4286785; n; keydown
1774266292.526658; n; keyup
1774266292.5605383; i; keydown
1774266292.6402068; i; keyup
1774266292.6630101; e; keydown
1774266292.7286367; e; keyup
1774266292.7786436; Key.space; keydown
1774266292.8544118; Key.space; keyup
1774266292.9510438; c; keydown
1774266293.034689; c; keyup
1774266293.1665676; h; keydown
1774266293.2221978; h; keyup
1774266293.4607985; r; keydown
1774266293.5447857; r; keyup
1774266293.8890219; z; keydown
1774266293.9727197; z; keyup
1774266294.0690508; Key.alt_r; keydown
1774266294.2147331; a; keydown
1774266294.3002825; a; keyup
1774266294.4609656; Key.alt_r; keyup
1774266294.4910133; s; keydown
1774266294.5624087; s; keyup
1774266294.66698; z; keydown
1774266294.7705727; z; keyup
1774266294.9224634; Key.space; keydown
1774266294.9703724; Key.space; keyup
1774266295.5189743; Key.backspace; keydown
1774266295.6224146; Key.backspace; keyup
1774266295.6908739; c; keydown
1774266295.7781382; c; keyup
1774266295.837003; z; keydown
1774266295.9162135; z; keyup
1774266296.032487; Key.space; keydown
1774266296.0965314; Key.space; keyup
1774266296.4083984; b; keydown
1774266296.4719594; b; keyup
1774266296.5481665; r; keydown
1774266296.638307; r; keyup
1774266296.7428267; z; keydown
1774266296.834037; z; keyup
