1774266346.6889682; w; keydown
1774266346.726344; w; keyup
1774266347.0386424; Key.backspace; keydown
1774266347.0843961; Key.backspace; keyup
1774266347.1586266; Key.caps_lock; keydown
1774266347.2404447; Key.caps_lock; keyup
1774266347.298745; w; keydown
1774266347.4643357; Key.caps_lock; keydown
1774266347.4744976; w; keyup
1774266347.5766168; Key.caps_lock; keyup
1774266347.7664852; Key.space; keydown
1774266347.8404152; Key.space; keyup
1774266347.9302442; c; keydown
1774266348.0424445; c; keyup
1774266348.4006922; Key.backspace; keydown
1774266348.4863129; Key.backspace; keyup
1774266348.502673; s; keydown
1774266348.592418; s; keyup
1774266348.6486824; z; keydown
1774266348.7401912; z; keyup
1774266348.7846763; c; keydown
1774266348.8623073; c; keyup
1774266348.8982975; z; keydown
1774266348.9704258; z; keyup
1774266349.062692; e; keydown
1774266349.135872; e; keyup
1774266349.6266053; Key.backspace; keydown
1774266349.7022548; Key.backspace; keyup
1774266349.7903032; Key.backspace; keydown
1774266349.8642554; Key.backspace; keyup
1774266349.9500644; Key.backspace; keydown
1774266350.0137484; Key.backspace; keyup
1774266350.088001; Key.backspace; keydown
1774266350.16162; Key.backspace; keyup
1774266350.470617; Key.backspace; keydown
1774266350.5336964; Key.backspace; keyup
1774266350.6623309; Key.caps_lock; keydown
1774266350.7476854; Key.caps_lock; keyup
1774266350.760591; s; keydown
1774266350.8761458; Key.caps_lock; keydown
1774266350.9002862; s; keyup
1774266350.9804223; Key.caps_lock; keyup
1774266351.1327257; z; keydown
1774266351.2377968; z; keyup
1774266351.3067634; c; keydown
1774266351.3884594; c; keyup
1774266351.4361892; z; keydown
1774266351.5042562; z; keyup
1774266351.640089; e; keydown
1774266351.7176244; e; keyup
1774266352.4325547; b; keydown
1774266352.4921472; b; keyup
1774266352.5225196; r; keydown
1774266352.6222067; r; keyup
1774266352.7225227; z; keydown
1774266352.8022816; z; keyup
1774266352.8506298; e; keydown
1774266352.929725; e; keyup
1774266353.1125116; s; keydown
1774266353.2317703; s; keyup
1774266353.3125088; z; keydown
1774266353.4277499; z; keyup
1774266353.452201; y; keydown
1774266353.518313; y; keyup
1774266353.6661131; n; keydown
1774266353.7541392; n; keyup
1774266353.8102446; i; keydown
1774266353.8782327; i; keyup
1774266353.930523; e; keydown
1774266353.9920485; e; keyup
1774266354.0286474; Key.space; keydown
1774266354.1017058; Key.space; keyup
1774266354.2105362; c; keydown
1774266354.2896273; c; keyup
1774266354.3824558; h; keydown
1774266354.4496534; h; keyup
1774266354.7126155; r; keydown
1774266354.808233; r; keyup
1774266354.919984; z; keydown
1774266355.0161996; z; keyup
1774266355.0740647; Key.alt_r; keydown
1774266355.2440982; a; keydown
1774266355.3161278; a; keyup
1774266355.4360385; Key.alt_r; keyup
1774266355.668242; Key.alt_r; keydown
1774266356.2843854; c; keydown
1774266356.3279655; c; keyup
1774266356.408512; Key.alt_r; keyup
1774266356.6765838; Key.backspace; keydown
